Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Заєць,Наталія,Володимирівна,Жінка,1963-11-08,Геофізик,село Берегове,"узвіз Іванівська, буд. 2 кв. 48, Кипуче, 68306",008-92-19,leon55@example.net
Архипенко,Віра,Степанівна,Жінка,1968-09-02,Різноробочий,хутір Брянка,"шосе Висока, буд. 47 кв. 46, Сніжне, 44788",019 181-73-92,serhiitarasenko@example.net
Вернигора,Орися,Степанівна,Жінка,1962-01-22,Реабілітолог,село Зоринськ,"набережна Маковий, буд. 90 кв. 7, Новоукраїнка, 64177",+380 51 769-32-83,sviatoslavsamoilenko@example.com
Рудько,Софія,Андріївна,Жінка,1988-03-11,Лікар,хутір Селидове,"сквер Чорноморський 12-й, буд. 5 кв. 0, Донецьк, 82503",056 439 15 75,opanasenkomaryna@example.net
Луценко,Орина,Федорівна,Жінка,1945-08-16,Бізнесмен,село Середина-Буда,"сквер Жасминна, буд. 3, Зеленодольськ, 94642",+380 (51) 979-93-60,iaroslava41@example.com
Лесик,Варвара,Олексіївна,Жінка,1964-11-09,Медик,село Почаїв,"проспект Хаджибейська дорога, буд. 88 кв. 9, Дніпро, 17133",+380 (50) 029-25-72,hlibiashchuk@example.net
Кармалюк,Аліна,Олегівна,Жінка,2003-10-14,Сценарист,селище Снігурівка,"проспект Залізничний 3-й, буд. 504 кв. 0, Судова Вишня, 05024",+380 12 413-39-55,nazarzabara@example.com
Рябовіл,Ірина,Олександрівна,Жінка,1946-05-09,Ветеринар,село Комарно,"узвіз Кобзаря, буд. 239 кв. 333, Борщів, 20936",277-37-22,tetiana60@example.net
Оберемко,Ольга,Григорівна,Жінка,2008-05-04,Мікробіолог,хутір Рожище,"шосе Подільська, буд. 0, Буринь, 70266",+380 69 503-63-08,veniiamyn77@example.org
Негода,Оксенія,Іванівна,Жінка,1965-03-30,Кушнір,селище Гірське,"вулиця Сосюри, буд. 30 кв. 867, Щастя, 60050",627 81 51,hrytsenkoalevtyn@example.net
Атаманчук,Софія,Василівна,Жінка,1963-08-15,Зоолог,місто Петрово-Красносілля,"набережна Альтовий, буд. 51 кв. 91, Суходільськ, 65729",+380 00 356-38-63,atamanchukliliia@example.net
Бабʼюк,Єлисавета,Федорівна,Жінка,1978-12-27,Кур'єр,село Голубівка,"вулиця Ланжеронівський узвіз, буд. 7 кв. 305, Городище, 68741",+380 41 701-89-46,oiakovenko@example.net
Козак,Альбіна,Олегівна,Жінка,1974-11-28,Актор,місто Мена,"вулиця Саксаганського, буд. 527 кв. 539, Тиврів, 59247",865-66-02,ielysei31@example.org
Демʼяненко,Валентина,Сергіївна,Жінка,1978-05-28,Дизайнер,селище Селидове,"набережна Тараса Кузьміна, буд. 488 кв. 44, Залізне, 52386",039 113-47-86,mbabak@example.com
Адаменко,Тереза,Андріївна,Жінка,1989-09-17,Золотар,місто Інкерман,"вулиця Короткий, буд. 651 кв. 981, Бар, 78888",916 17 24,dankevychpylyp@example.com
Канівець,Одарка,Олегівна,Жінка,1984-12-06,Публіцист,селище Оріхів,"сквер Угорська, буд. 270, Чоп, 91409",060 136 81 29,zarudnasviatoslava@example.org
Бездітко,Клавдія,Степанівна,Жінка,1960-01-05,Пілот,хутір Джанкой,"провулок Педагогічний, буд. 9, Остер, 03628",090 654 41 26,esvyrydenko@example.org
Тимчук,Златослава,Юріївна,Жінка,1984-06-24,Кінокритик,село Іршава,"сквер Чорноморський 13-й, буд. 1, Яремче, 92226",046 566-89-73,alevtynteslenko@example.org
Копитко,Лариса,Іванівна,Жінка,1955-05-24,Конструктор,селище Бровари,"проспект Чорноморський 13-й, буд. 2 кв. 102, Чоп, 87496",+380 (68) 408-29-24,barannykalbert@example.org
Малик,Пріска,Григорівна,Жінка,1952-04-23,Мінералог,хутір Пологи,"проспект Немировича-Данченка, буд. 971 кв. 0, Мостиська, 94684",+380 38 765 93 90,konopliapylyp@example.net
Ященко,Віолетта,Олександрівна,Жінка,2007-10-22,Дипломат,місто Нікополь,"площа Москеті, буд. 64, Городок, 47563",646-19-01,jnesterenko@example.net
Ірванець,Єлисавета,Володимирівна,Жінка,1974-03-18,Ґрунтознавець,хутір Хотин,"провулок Закарпатська, буд. 71 кв. 10, Вуглегірськ, 40048",085 414-59-71,davymukaalbina@example.org
Власюк,Марія,Богданівна,Жінка,2000-07-03,Адвокат,селище Красилів,"узвіз Сінна, буд. 94, Покров, 02184",+380 32 334-88-50,iaremkoedyta@example.com
Романенко,Емілія,Олександрівна,Жінка,1993-12-22,Палеонтолог,місто Курахове,"проспект Малинова, буд. 060 кв. 601, Миронівка, 99903",041 875 47 94,arkhymovychdanylo@example.net
Тесленко,Амалія,Павлівна,Жінка,1972-04-12,Гірник,хутір Костянтинівка,"провулок Старокінний, буд. 936 кв. 81, Дрогобич, 93233",+380 15 625-76-60,btytarenko@example.org
Кабаненко,Михайлина,Василівна,Жінка,1979-01-04,Ботанік,місто Тернівка,"сквер Карантинний узвіз, буд. 07, Бібрка, 45565",+380 63 551-66-82,ieromenkokhoma@example.org
Корж,Мілена,Вікторівна,Жінка,1984-01-31,Мистецтвознавець,хутір Семенівка,"парк Путьова, буд. 5, Мала Виска, 80824",439 07 11,bohuslavadzyndra@example.org
Титаренко,Алла,Юріївна,Жінка,1943-10-13,Няня,хутір Світлодарськ,"площа Пироговська, буд. 7, Бахмач, 93513",+380 (59) 787-70-98,vdakhno@example.org
Худобʼяк,Вікторія,Федорівна,Жінка,2007-04-27,Психолог,селище Городенка,"вулиця Республіканська, буд. 895, Чорнобиль, 15946",001 348-52-90,sychmariia@example.org
Атрощенко,Святослава,Олегівна,Жінка,1998-07-27,Економіст,місто Токмак,"площа Лінія 36-та, буд. 068 кв. 37, Боково-Хрустальне, 70032",096 411 13 91,zabashtaalbina@example.net
Полтавець,Юстина,Вікторівна,Жінка,1979-07-23,Реставратор,селище Торецьк,"парк Олександра Ройтбурда, буд. 32 кв. 2, Нетішин, 88861",+380 70 822-11-47,pushkaralevtyn@example.com
Панчук,Оксана,Богданівна,Жінка,1953-10-04,Музикант,селище Ніжин,"проспект Керченський 3-й, буд. 1, Ірміно, 34521",+380 26 580-71-74,halyna38@example.com
Прокопович,Ганна,Макарівна,Жінка,1975-09-12,Фізик,місто Кам'янка-Бузька,"шосе Дюківська, буд. 330, Старобільськ, 16990",061 128 19 58,hchernenko@example.net
Верменич,Оксенія,Петрівна,Жінка,1940-04-29,Професор,селище Ізюм,"сквер Краснослобідська, буд. 46, Генічеськ, 69503",054 194 15 17,ltkach@example.net
Чумаченко,Маруся,Степанівна,Жінка,1966-02-26,Філолог,місто Українка,"узвіз Восьмого березня 8-й, буд. 471 кв. 14, Бершадь, 40836",074 464-44-87,fastenkotrokhym@example.com
Вертипорох,Володимира,Іванівна,Жінка,2007-12-13,Няня,місто Міусинськ,"шосе Сільськогосподарський, буд. 2 кв. 589, Липовець, 11805",047 198-83-13,ostapmishchenko@example.org
Шморгун,Лариса,Богданівна,Жінка,1949-10-07,Паблік рилейшнз,хутір Помічна,"проспект Петра Біциллі, буд. 86 кв. 82, Ходорів, 67603",+380 73 825-37-86,avhustyn27@example.com
Семенченко,Алла,Федорівна,Жінка,1950-07-31,Археолог,селище Кадіївка,"шосе Осипова, буд. 5 кв. 158, Армянськ, 84844",795-72-70,uzubko@example.org
Забара,Орися,Іванівна,Жінка,1977-10-30,Кінокритик,хутір Новояворівськ,"шосе Поперечний, буд. 636, Жмеринка, 27804",+380 13 899-96-08,iefremdzhus@example.com
Данчук,Вікторія,Юріївна,Жінка,1984-08-30,Юрист,місто Багачеве,"парк В'ячеслава Липинського, буд. 8 кв. 40, Мостиська, 81859",201 17 68,shyloielysei@example.net
Юрченко,Клавдія,Сергіївна,Жінка,1970-04-11,Державний службовець,село Нетішин,"парк Баринштейна, буд. 303, Бобринець, 99022",713-27-02,makarenkoolha@example.org
Баранник,Орина,Макарівна,Жінка,1971-04-10,Громадський діяч,місто Лохвиця,"проспект Небесної Сотні, буд. 8 кв. 142, Покровськ, 22442",+380 34 068-03-85,kolisnychenkoievhen@example.org
Гаврилишин,Лілія,Степанівна,Жінка,1954-09-20,Складальник,селище Судак,"провулок Айвазовського, буд. 78, Луцьк, 20232",068 298 01 77,ashchors@example.com
Демиденко,Пріска,Олексіївна,Жінка,1939-03-20,Бухгалтер,місто Дергачі,"проспект Бузковий, буд. 584, Золоте, 49593",+380 (25) 821-94-83,solomonaleksiichuk@example.org
Шеремета,Варвара,Олександрівна,Жінка,1972-12-06,Конструктор,село Мерефа,"вулиця Миколи Пильчикова, буд. 34, Дніпро, 13176",257-05-94,jiesypenko@example.net
Ярема,Святослава,Володимирівна,Жінка,1969-09-24,Намотувальник,селище Дрогобич,"шосе Перший Кришталевий, буд. 6, Вуглегірськ, 43487",006 631 17 13,lvatamaniuk@example.org
Худобʼяк,Олена,Федорівна,Жінка,1964-01-29,Мінералог,село Шумськ,"узвіз Флотський 3-й, буд. 278 кв. 38, Коломия, 31408",088 329 26 17,pylypiashchuk@example.net
Дахно,Ярослава,Олександрівна,Жінка,1969-10-25,Підприємець,селище Помічна,"сквер Багрицького, буд. 64 кв. 47, Городище, 45694",+380 88 591-16-86,sviatoslav83@example.net
Медведенко,Наталія,Олександрівна,Жінка,1969-04-02,Випробувач,село Болехів,"провулок Жоліо-Кюрі, буд. 7, Шпола, 25460",+380 46 009 76 27,hkarpa@example.net
Іщенко,Анжела,Михайлівна,Жінка,1954-04-13,Архітектор,місто Камінь-Каширський,"узвіз Гвоздична, буд. 7, Борщів, 96860",+380 (61) 858-95-55,ustym70@example.com
Вдовенко,Віолетта,Андріївна,Жінка,1948-11-23,Фармацевт,хутір Новодністровськ,"площа Карпенка-Карого, буд. 34, Олександрія, 78430",222-15-66,labaorest@example.net
Москаль,Богданна,Андріївна,Жінка,1992-05-26,Бухгалтер,село Стрий,"шосе Василя Кандинського 3-й, буд. 434 кв. 9, Рахів, 82934",077 495-67-16,valentyn22@example.net
Мазур,Оксенія,Андріївна,Жінка,1965-04-25,Круп'є,місто Володимир-Волинський,"узвіз 13-та Лінія 6-й ст. Люстдорфської дороги, буд. 0, Жовква, 31737",003 553-88-05,boleslavvasylenko@example.com
Цибуленко,Богданна,Петрівна,Жінка,1987-09-21,Історик,село Карлівка,"шосе Тетяни Тесс, буд. 38 кв. 2, Охтирка, 51844",+380 70 900 41 47,kolesnychenkoarkadii@example.com
Демʼянюк,Лариса,Петрівна,Жінка,2005-06-29,Актор,хутір Золотоноша,"шосе Сірожупанників, буд. 840 кв. 51, Гола Пристань, 60589",622-96-95,iustymzhadan@example.net
Кабаненко,Олена,Макарівна,Жінка,1984-01-02,Менеджер,селище Бердичів,"шосе Венгера, буд. 48 кв. 577, Виноградів, 43833",086 631-52-37,anita99@example.org
Тичина,Роксолана,Романівна,Жінка,1981-05-28,Футболіст,місто Перещепине,"вулиця Французький, буд. 6, Болехів, 62985",+380 (57) 859-54-31,ievhen59@example.net
Рудько,Лілія,Андріївна,Жінка,1955-01-17,Живописець,селище Сколе,"площа Дениса Максишка, буд. 598 кв. 80, Ромни, 42003",+380 (36) 531-61-57,sviatoslavderevianko@example.com
Єрьоменко,Ольга,Андріївна,Жінка,1990-09-14,Єгер,село Курахове,"провулок Самодіяльна, буд. 8, Брянка, 13683",+380 01 219-15-38,qchuiko@example.org
Ящук,Аліна,Олександрівна,Жінка,1954-04-02,Секретар,місто Умань,"вулиця 411-ї батареї, буд. 7, Привілля, 85162",098 509 66 20,demyd40@example.net
Килимник,Амалія,Іванівна,Жінка,1958-01-18,Гірник,місто Токмак,"провулок Успенська, буд. 7 кв. 888, Залізне, 30590",090 799-97-84,zlytvyn@example.com
Швачка,Оксана,Макарівна,Жінка,1963-05-08,Головний меркшейдер,місто Кривий Ріг,"набережна Мала Арнаутська, буд. 115 кв. 4, Ворожба, 38574",406-72-57,bohuslavzabashta@example.org
Дахно,Ярослава,Макарівна,Жінка,1960-06-01,Хімік,місто Сторожинець,"площа Курортний, буд. 2, Любомль, 82462",479-51-22,khomadutka@example.net
Запорожець,Юстина,Григорівна,Жінка,1946-01-15,Флорист,село Тростянець,"провулок Ігоря Ветрогонова, буд. 64 кв. 214, Бровари, 28987",066 462-58-92,iakovenkomariia@example.org
Товстоліс,Богуслава,Олександрівна,Жінка,1945-07-15,Науковець,селище Новодружеськ,"площа Артура Савельєва, буд. 8 кв. 3, Тараща, 40334",335-50-84,olhapetryk@example.org
Бандурка,Василина,Олексіївна,Жінка,1983-07-10,Шериф,місто Дубно,"сквер Китобійна, буд. 603, Камінь-Каширський, 64616",869 55 28,azarzabara@example.com
Девдюк,Едита,Вікторівна,Жінка,2007-04-26,Соціолог,місто Бахмут,"парк Гвоздичний, буд. 35 кв. 665, Красноперекопськ, 12064",380 16 79,bohdannehoda@example.org
Рудик,Тетяна,Дмитрівна,Жінка,1949-11-19,Льотчик,місто Покров,"провулок Миколи Гумільова, буд. 36 кв. 708, Скалат, 19047",458-96-92,ovakulenko@example.com
Гоголь,Софія,Павлівна,Жінка,1948-05-02,Флорист,хутір П'ятихатки,"провулок Людмили Гінзбург, буд. 54, Рені, 60858",083 496-21-23,ivashchenkoborys@example.org
Чаленко,Дарина,Іванівна,Жінка,1940-09-08,Програміст,село Самар,"сквер Транспортна, буд. 54, Моршин, 31707",002 751-03-06,saienkoiryna@example.org
Тимченко,Ярослава,Степанівна,Жінка,2003-05-18,Стоматолог,селище Південне,"провулок Люстдорфський, буд. 95 кв. 095, Дружківка, 35925",+380 02 115-46-85,bazavluchenkoanastasiia@example.com
Чумаченко,Анжела,Дмитрівна,Жінка,1974-10-22,Клоун,селище Щолкіне,"набережна Привокзальний, буд. 81, Карлівка, 46172",024 400 11 77,mgalagan@example.org
Верхола,Василина,Вікторівна,Жінка,1941-01-17,Бібліограф,хутір Вільнянськ,"парк Баштанна, буд. 63 кв. 91, Тлумач, 50252",+380 42 227-52-85,varfolomiiverkhola@example.com
Юхименко,Орися,Петрівна,Жінка,1964-05-28,Правник,селище Біла Церква,"шосе Отрадна, буд. 70, Керч, 22467",666-93-19,artymmarusia@example.net
Абрамчук,Сніжана,Дмитрівна,Жінка,1986-01-12,Публіцист,селище Заставна,"набережна Канатний, буд. 726 кв. 01, Монастириська, 48742",+380 93 063 78 62,hodunoksymon@example.org
Акуленко,Михайлина,Вікторівна,Жінка,1979-10-13,Ботанік,селище Васильків,"парк Олексія Косяченко, буд. 3 кв. 805, Горлівка, 04000",+380 62 548-65-48,yskopenko@example.com
Медведенко,Вікторія,Андріївна,Жінка,1944-05-07,Продюсер,селище Славутич,"узвіз Зарічна, буд. 9 кв. 85, Косів, 14347",+380 82 113-13-64,alla75@example.com
Микитюк,Марта,Петрівна,Жінка,2001-09-19,Історик,село Жмеринка,"проспект Лазурний 5-й, буд. 170, Овруч, 88587",091 605-98-34,vdovenkokyrylo@example.net
Скорик,Лариса,Макарівна,Жінка,1968-02-16,Гінеколог,село Хорол,"проспект Вузький, буд. 66, Саки, 81391",+380 13 083-48-79,izaiets@example.com
Єрьоменко,Олена,Григорівна,Жінка,2001-09-22,Секретар,селище Ізюм,"проспект Сім'ї Глодан, буд. 81 кв. 1, Новий Буг, 26960",772-26-06,hryhorii45@example.com
Євдокименко,Лілія,Іванівна,Жінка,1945-06-21,Композитор,місто Тростянець,"узвіз Кобзаря, буд. 67 кв. 767, Камінь-Каширський, 05852",087 322 83 75,ofartushniak@example.net
Ткаченко,Олена,Василівна,Жінка,1996-09-26,Ґрунтознавець,селище Новоселиця,"проспект Монастирський, буд. 401 кв. 3, Щастя, 48628",769 40 21,averchenkoliza@example.com
Вовк,Едита,Павлівна,Жінка,1948-03-08,Живописець,місто Красноперекопськ,"шосе Морехідний, буд. 69 кв. 5, Златопіль, 27908",039 574 15 77,alevtynandriishyna@example.com
Батюк,Сніжана,Федорівна,Жінка,1976-12-28,Стиліст,хутір Балаклія,"провулок Побратимів, буд. 2 кв. 800, Чуднів, 49188",+380 67 351 69 73,mkarpa@example.com
Колодуб,Олена,Степанівна,Жінка,1990-04-11,Кінокритик,місто Хуст,"шосе Лузанівка, буд. 7 кв. 16, Чернівці, 27640",424-80-23,saienkodanylo@example.com
Власюк,Оксана,Вікторівна,Жінка,1951-10-28,Психолог,місто Василівка,"набережна Дмитра Годзенка, буд. 1 кв. 52, Вишневе, 03865",329-48-32,xartemenko@example.org
Скиба,Надія,Дмитрівна,Жінка,1968-06-25,Маркетолог,селище Білогірськ,"шосе Хаджибейська дорога, буд. 77 кв. 62, Вільнянськ, 25540",+380 48 864 19 39,parmen34@example.com
Приходько,Сніжана,Федорівна,Жінка,1991-07-01,Педагог,село Вознесенівка,"сквер Тарутинська, буд. 617 кв. 553, Алушта, 81841",+380 39 482-67-36,nataliia49@example.net
Малик,Ірена,Макарівна,Жінка,1978-03-26,Фермер,місто Вуглегірськ,"набережна Селищна, буд. 10, Дрогобич, 30348",743-77-02,klavdiiakhudiak@example.org
Шморгун,Едита,Романівна,Жінка,1972-08-29,Паблік рилейшнз,селище Антрацит,"сквер Кипарисний 2-й, буд. 4 кв. 527, Моршин, 32500",+380 (15) 952-08-66,vdovychenkoedyta@example.net
Носаченко,Данна,Григорівна,Жінка,1957-07-25,Машиніст,селище Фастів,"набережна Яна Длугоша, буд. 39 кв. 1, Глухів, 54283",071 761-24-10,lgoliash@example.com
Данько,Аліна,Макарівна,Жінка,1993-05-06,Маркетолог,село Чоп,"парк Рівний, буд. 48, Чорноморськ, 26933",+380 27 961-46-74,ostap98@example.org
Дробʼязко,Оксана,Юріївна,Жінка,1996-06-29,Льотчик,селище Чернівці,"провулок Степний 2-й, буд. 61 кв. 311, Тлумач, 93209",+380 93 026 00 44,ustymonishchuk@example.org
Гречаник,Михайлина,Олексіївна,Жінка,1962-12-14,Парфюмер,хутір Златопіль,"узвіз Восьмого березня 6-й, буд. 6 кв. 349, Кодима, 16380",+380 57 205-05-61,fkylymnyk@example.net
Теличенко,Роксолана,Макарівна,Жінка,1996-04-28,Кінорежисер,селище Іллінці,"проспект Ширяївський, буд. 52 кв. 5, Часів Яр, 93605",061 770-75-90,hennadiivoblyi@example.com
Шахрай,Людмила,Дмитрівна,Жінка,1973-05-20,Математик,селище Торецьк,"узвіз Керченський 1-й, буд. 790 кв. 2, Армянськ, 95537",096 499-05-55,ttelizhenko@example.com
Рудько,Маруся,Володимирівна,Жінка,1945-04-18,Мовознавець,хутір Зеленодольськ,"набережна 19-та Лінія, буд. 90, Роздільна, 89790",+380 94 586-57-33,varfolomii26@example.net
Парасюк,Олена,Дмитрівна,Жінка,1944-05-04,Гінеколог,село Феодосія,"парк Пересипська 10-та, буд. 6 кв. 5, Святогірськ, 12959",+380 27 894-95-03,erikastus@example.org
Мазур,Амалія,Сергіївна,Жінка,1963-04-10,Золотар,село Южноукраїнськ,"узвіз Трибуни героїв, буд. 70, Хрустальний, 37392",782 37 20,zhalilomaksym@example.net
Оберемко,Марта,Степанівна,Жінка,1971-10-15,Державний службовець,місто Білопілля,"площа В'ячеслава Липинського, буд. 75 кв. 8, Скалат, 58267",777 54 54,vadym67@example.com
Абрагамовська,Єлисавета,Богданівна,Жінка,2006-05-20,Драматург,село Городня,"вулиця Пересипська 5-та, буд. 70 кв. 1, Дружківка, 01706",073 142 65 61,zakharhavriushenko@example.net
Скорик,Любов,Іванівна,Жінка,1960-01-06,Реставратор,місто Валки,"сквер Молодіжна, буд. 680, Вишневе, 67100",023 081 69 95,rhohol-ianovskyi@example.net
Андрійчук,Анжела,Юріївна,Жінка,1972-08-07,Стоматолог,село Монастириська,"шосе Демократична, буд. 2 кв. 45, Виноградів, 35639",803-83-28,albina07@example.com
Павличенко,Вікторія,Юріївна,Жінка,1948-05-20,Живописець,селище Довжанськ,"вулиця Угорська, буд. 31, Ялта, 14994",148 74 29,avrelii66@example.com
Удовиченко,Юстина,Романівна,Жінка,1998-04-20,Палеонтолог,хутір Бібрка,"узвіз Балтська дорога, буд. 5, Кремінна, 16930",016 103 21 95,derhachadam@example.net
Балабан,Ірина,Богданівна,Жінка,1949-03-02,Прокурор,селище Сіверськодонецьк,"шосе Волокидіна, буд. 92, Борзна, 66212",+380 95 610-48-30,lukian85@example.org
Андріїшин,Марія,Іванівна,Жінка,1978-01-08,Підприємець,хутір Одеса,"парк Аптекарський, буд. 383 кв. 4, Вільнянськ, 45974",007 213-69-79,panteleimonsymonenko@example.com
Дубас,Василина,Богданівна,Жінка,1983-05-11,Живописець,хутір Ананьїв,"вулиця Лінійна, буд. 6 кв. 6, Семенівка, 48922",074 177-62-60,leontii71@example.org
Козаченко,Марʼяна,Петрівна,Жінка,1944-02-14,Антрополог,селище Горішні Плавні,"сквер Наявний 5-й, буд. 12, Яремче, 18766",+380 69 129-39-45,iaryna43@example.net
Юхименко,Ліза,Дмитрівна,Жінка,1953-03-11,Сценарист,село Борислав,"набережна Путівна, буд. 0, Камінь-Каширський, 08446",+380 (89) 926-73-84,hordii74@example.net
Іщенко,Єлисавета,Володимирівна,Жінка,1945-08-03,Євнух,селище Буськ,"провулок Нечипуренка, буд. 21 кв. 96, Новий Розділ, 42393",+380 (08) 186-88-07,mykyta29@example.com
Артимишин,Христина,Макарівна,Жінка,2002-01-31,Геолог,селище Українка,"вулиця Нескучна, буд. 7 кв. 25, Верхівцеве, 98686",+380 41 712-94-88,baranykorest@example.org
Михайличенко,Ганна,Степанівна,Жінка,1974-02-27,Фізик,місто Волочиськ,"сквер Цукровий, буд. 6, Привілля, 64615",+380 28 085 66 97,qderehus@example.com
Авдєєнко,Юстина,Михайлівна,Жінка,1953-12-05,Фермер,хутір Севастополь,"набережна Валерія Самофалова, буд. 038 кв. 991, Борислав, 24481",853-05-70,snizhanazhuravel@example.org
Забара,Пріска,Олегівна,Жінка,1967-06-22,Етнограф,селище Генічеськ,"узвіз Депутатський, буд. 109 кв. 9, Борзна, 88045",+380 80 225-39-81,rozaliiaabramchuk@example.org
Яценко,Тетяна,Федорівна,Жінка,1953-09-23,Різноробочий,місто Дергачі,"узвіз Північна, буд. 94 кв. 82, Луганськ, 30139",073 11 22,akulenkovenedykt@example.net
Корбут,Варвара,Павлівна,Жінка,1997-06-29,Петрограф,хутір Алчевськ,"шосе Краснова, буд. 2, Монастириська, 80130",+380 54 828-79-09,halyna63@example.com
Ковалюк,Лариса,Іванівна,Жінка,1974-09-12,Доцент,село Бурштин,"парк Весела, буд. 42, Хрустальний, 28650",417 43 25,stanislavabramenko@example.net
Оліфіренко,Роксолана,Андріївна,Жінка,1990-02-07,Продюсер,селище Старобільськ,"проспект Миколи Бурачека, буд. 0, Миргород, 78638",+380 59 849-88-48,kylymnykhalyna@example.org
Пʼятаченко,Златослава,Макарівна,Жінка,1964-12-29,Слідчий,місто Сміла,"провулок Дур'янівський, буд. 390 кв. 048, Сімферополь, 42634",+380 85 203-29-98,chalahennadii@example.com
Забара,Василина,Олександрівна,Жінка,1964-10-21,Круп'є,село Долинська,"вулиця Миколи Боровського, буд. 9, Хирів, 61967",451 80 82,viacheslav34@example.net
Абрамчук,Світлана,Олександрівна,Жінка,1978-09-16,Правник,хутір Донецьк,"проспект Наявний 4-й, буд. 267, Путивль, 85071",+380 (01) 972-98-32,volodymyraieromenko@example.org
Масоха,Алла,Петрівна,Жінка,1970-12-26,Астроном,селище Джанкой,"сквер Кипарисний 1-й, буд. 550, Хмельницький, 51380",039 968 05 80,batihopanas@example.com
Савенко,Амалія,Олександрівна,Жінка,1957-04-15,Кушнір,селище Арциз,"шосе Польова, буд. 90, Куп'янськ, 76895",498-78-82,fedirsheremeta@example.com
Яремків,Василина,Дмитрівна,Жінка,1991-05-20,Гінеколог,місто Білопілля,"шосе Шкіперська, буд. 61 кв. 976, Ізюм, 80145",022 329-29-96,zaietsodarka@example.org
Щириця,Богданна,Богданівна,Жінка,1984-02-21,Модель,село Лебедин,"проспект Баштанна, буд. 2 кв. 33, Ічня, 05874",+380 10 387 35 68,vitaliimakohon@example.net
Барабаш,Валентина,Василівна,Жінка,1944-10-02,Будник,селище Перемишляни,"шосе Івахненка Петра, буд. 2 кв. 39, Мостиська, 18853",+380 02 864-85-78,hohol-ianovskaolena@example.org
Скорик,Віолетта,Федорівна,Жінка,1974-09-14,Електрослюсар,місто Новий Калинів,"сквер Георгія Липського, буд. 3, Олександрівськ, 16642",+380 (15) 163-88-61,obabak@example.net
Сіробаба,Валентина,Романівна,Жінка,1989-04-30,Детектив,хутір Волочиськ,"парк Олени Теліги, буд. 18, Кагарлик, 81835",+380 (85) 326-96-65,iatseniukviktoriia@example.org
Лагода,Єлисавета,Іванівна,Жінка,1975-11-23,Кінорежисер,місто Бобринець,"узвіз Лютеранський, буд. 456 кв. 411, Броди, 96696",051 286 49 41,gandroshchuk@example.com
Устенко,Клавдія,Іванівна,Жінка,1939-08-15,Програміст,село Новий Буг,"площа Байгородський, буд. 40, Стрий, 69991",077 13 43,olenadanchenko@example.com
Товстоліс,Ганна,Вікторівна,Жінка,1948-06-16,Мовознавець,хутір Вознесенівка,"площа Четверта, буд. 175, Покров, 59283",053 176-27-26,zorian83@example.net
Габелко,Мілена,Федорівна,Жінка,1998-12-19,Головний меркшейдер,селище Авдіївка,"сквер Пересипська 1-ша, буд. 4, Гірник, 68008",+380 11 855 52 20,venedykt91@example.org
Вергун,Роксолана,Павлівна,Жінка,1960-03-22,Мірошник,місто Шепетівка,"парк Хортицька, буд. 4, Білозерське, 66173",+380 30 820 42 42,mamchurlevko@example.com
Деркач,Ліза,Олександрівна,Жінка,1954-03-28,Кур'єр,місто Переяслав,"сквер Овідіопольська дорога, буд. 0, Чигирин, 09506",099 900-52-32,klavdiia78@example.net
Зінченко,Людмила,Володимирівна,Жінка,1949-09-23,Державний службовець,селище Кременчук,"площа Крайня, буд. 0 кв. 7, Збараж, 37712",052 945-56-99,zaikapriska@example.com
Романчук,Амалія,Григорівна,Жінка,1960-01-30,Хімік,місто Винники,"набережна Путьова, буд. 84 кв. 692, Ічня, 92617",+380 (84) 436-04-56,arsenlupii@example.org
Василашко,Ярина,Романівна,Жінка,1955-04-09,Епідеміолог,місто Новий Калинів,"шосе Сумська, буд. 9 кв. 60, Баранівка, 71753",+380 (73) 364-17-90,oabramenko@example.com
Юрченко,Лілія,Макарівна,Жінка,1986-04-08,Палеонтолог,хутір Судова Вишня,"парк Прокатна, буд. 084, Кременчук, 54773",668-68-72,zhalilomariana@example.org
Цісик,Володимира,Олексіївна,Жінка,1968-02-18,Дизайнер,хутір Копичинці,"узвіз Ніли Крюкової, буд. 76 кв. 7, Рогатин, 71345",+380 24 914-84-34,feofan38@example.org
Затовканюк,Одарка,Федорівна,Жінка,2006-08-01,Дипломат,хутір Підгородне,"проспект Бузкова, буд. 80, Нова Каховка, 60721",+380 (98) 103-72-79,iukhymdanchuk@example.com
Фурс,Ярослава,Володимирівна,Жінка,1984-12-02,Палеонтолог,місто Винники,"шосе Панченка, буд. 8 кв. 5, Куп'янськ, 17886",+380 (11) 023-45-17,larysaneporozhnii@example.org
Зінкевич,Маруся,Макарівна,Жінка,1967-08-24,Модельєр,село Залізне,"набережна Майстерний, буд. 8 кв. 664, Амвросіївка, 89429",049 133 57 07,orysia73@example.com
Щорс,Одарка,Григорівна,Жінка,1965-07-03,Публіцист,селище Ківерці,"набережна Зої Пасічної, буд. 8 кв. 51, Багачеве, 17282",+380 (47) 584-64-04,mykyta92@example.org
Штокало,Едита,Василівна,Жінка,1950-06-02,Географ,село Вугледар,"площа Кощового отамана, буд. 45 кв. 06, Лубни, 71058",099 629 47 41,iaremavalentyn@example.org
